Health Facility,Code,Type,Traditional Authority,Setting
Balaka District Hospital,BDH,District hospital,TA Msamala,Semi-urban
Balaka Dream Clinic,BDC,Special / other site,TA Msamala,Semi-urban
Balaka OPD Health Centre,BKOP,Health centre,TA Msamala,Semi-urban
Chiendausiku Health Centre,CYDU,Health centre,TA Msamala,Semi-urban
Chimatilo Health Centre,CHIM,Health centre,Balaka Town,Rural
Dziwe Health Centre Balaka,DZIW,Health centre,TA Msamala,Rural
Kalembo Health Centre,KLBO,Health centre,TA Kalembo,Rural
Kankao Health Centre,KNKO,Health centre,TA Chanthunya,Rural
Kwitanda Health Centre,KTDA,Health centre,TA Msamala,Rural
Mbera Health Centre,MBRA,Health centre,TA Mbera,Rural
Mwima Health Centre,MWIM,Health centre,TA Amidu,Rural
Namanolo Health Centre,NMNO,Health centre,TA Amidu,Rural
Namdumbo Health Centre,NDBO,Health centre,TA Kalembo,Rural
Phalula Health Centre,PHAC,Health centre,Senior TA Phalula,Rural
Phimbi Health Centre,PBHC,Health centre,TA Nkaya,Rural
Ulongwe Health Centre,ULHC,Health centre,TA Kalembo,Rural
Utale 1 Health Centre,UTH,Health centre,TA Nkaya,Rural
Utale 2 Health Centre,UTHC,Health centre,TA Nkaya,Rural
