Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Amidu,"46,480",1 (0.2—2.7%),8.4% (4.7—14.0%),88% (72—97%)
Balaka Town,"36,610",1 (0.3—2.7%),8.9% (4.9—14.8%),89% (73—97%)
Chanthunya,"30,360",1 (0.2—2.3%),8.1% (4.4—13.5%),90% (74—97%)
Kalembo,"77,890",1 (0.2—2.2%),6.7% (3.7—11.3%),87% (70—96%)
Liwonde Town,"36,750",1 (0.2—2.9%),8.8% (4.8—14.7%),88% (72—97%)
Msamala,"81,280",1 (0.2—2.6%),8.9% (5.0—14.7%),89% (74—97%)
Nkaya,"45,570",1 (0.2—2.4%),8.0% (4.4—13.2%),89% (73—97%)
STA Kachenga,"44,230",1 (0.2—2.2%),5.9% (3.1—10.2%),86% (69—96%)
STA Matola,"20,390",1 (0.2—2.6%),7.2% (3.9—12.4%),88% (69—97%)
STA Phalula,"19,590",1 (0.2—2.0%),6.6% (3.5—11.3%),88% (73—97%)
STA Toleza,"5,610",1 (0.2—2.6%),6.5% (3.4—11.7%),87% (68—96%)
Sawali,"19,330",1 (0.2—2.6%),8.2% (4.4—13.9%),88% (70—97%)
