Health Facility,Code,Type,Traditional Authority,Setting
AMECCA Chilaweni Health centre,AMEQ,Health centre,TA Machinjiri,Urban
Bangwe Health Centre,BGWE,Health centre,Bangwe Mthandizi Ward,Urban
Bangwe Madina Health Centre,BMAC,Health centre,TA Machinjiri,Urban
Blantyre City Assembly Clinic,BCAC,Special / other site,TA Kapeni,Urban
Blantyre Dream Project,BDP,Special / other site,TA Kapeni,Rural
Chavala Health Centre,CVAL,Health centre,TA Kasisi,Rural
Chikowa Health Centre,CKOW,Health centre,TA Kunthembwe,Rural
Chileka Health Centre Blantyre,CHCB,Health centre,TA Kuntaja,Rural
Chileka SDA Health Centre,CSDA,Health centre,TA Kuntaja,Rural
Chilomoni Health Centre,CILO,Health centre,TA Machinjiri,Urban
Chimembe Health Centre,CMBE,Health centre,TA Kuntaja,Rural
Chirimba Health Centre,CHIR,Health centre,Michiru Ward,Urban
Dziwe Health Centre,DZWE,Health centre,TA Kuntaja,Rural
Gateway Clinic,GACL,Dispensary,TA Kapeni,Urban
Kadidi Health Centre,KADI,Health centre,TA Kapeni,Rural
Kapeni Dream Centre,KPND,Health centre,TA Kapeni,Rural
Khungulu Health Centre,KUNG,Health centre,TA Kuntaja,Semi-urban
Limbe Health Centre,LHC,Health centre,TA Machinjiri,Urban
Lirangwe Health Centre,LARI,Health centre,TA Lundu,Rural
Lumbira / Mitsidi Health Centre,LMHC,Health centre,TA Kuntaja,Urban
Lundu Health Centre,LDUH,Health centre,TA Lundu,Rural
MACRO Blantyre,MCRB,Special / other site,TA Machinjiri,Urban
Madziabango Health Centre,MDAG,Health centre,TA Somba,Rural
Makata Health Centre Lunzu,MAKT,Health centre,TA Makata,Rural
Makhetha Clinic,MKTA,Dispensary,TA Machinjiri,Urban
Malabada Health Centre,MLBD,Health centre,TA Machinjiri,Urban
Mbayani Health Centre,MQBY,Health centre,Mbayani Ward,Urban
Mdeka Health Centre,MDKH,Health centre,TA Chigaru,Rural
Mlambe Mission Hospital,MLBE,Other hospital,TA Kapeni,Rural
Mpemba Health Centre,MPEM,Health centre,TA Somba,Rural
Mpingo Maternity,MPI,Health centre,TA Kapeni,Rural
Namikoko Health Centre,NKHC,Dispensary,TA Lundu,Rural
Nancholi Youth Organisation Clinic,NANQ,Special / other site,TA Somba,Urban
Ndirande Health Centre,NDRH,Health centre,Ndirande Matope Ward,Urban
Ndirande Madina Social Services,NMSS,Health centre,TA Kapeni,Urban
Pensulo Health Centre,PENS,Health centre,TA Kuntaja,Urban
Queen Elizabeth Central Hospital,QECH,Central hospital,TA Kapeni,Urban
Sanjika Clinic,SAJC,Dispensary,TA Kuntaja,Urban
Soche Adventist Health Centre,SOCA,Health centre,Zingwangwa South Ward,Urban
Soche Maternity,SOM,Special / other site,TA Somba,Urban
South Lunzu Health Centre,SL,Health centre,TA Machinjiri,Urban
St Vincent Health Centre Chadzunda,CZDA,Health post,TA Somba,Rural
Umunthu Foundation Clinic,UMUQ,Special / other site,TA Machinjiri,Urban
Zingwangwa Health Centre,ZHC,Health centre,TA Kapeni,Urban
