Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Bangwe Mthandizi Ward,"20,670",1 (0.4—3.5%),10.2% (5.8—16.6%),86% (69—96%)
Bangwe Ward,"19,490",1 (0.4—3.8%),10.5% (6.0—17.4%),86% (68—96%)
Blantyre City Centre Ward,"22,030",1 (0.4—3.5%),9.5% (5.4—15.1%),85% (67—96%)
Blantyre South Ward,"27,360",1 (0.3—3.3%),9.3% (5.2—14.8%),86% (68—96%)
Chigaru,"47,730",1 (0.2—2.6%),8.3% (4.5—13.8%),88% (73—97%)
Chigumula Ward,"25,740",1 (0.4—3.7%),10.9% (6.1—18.1%),87% (69—96%)
Chilomoni Ward,"29,310",2 (0.4—3.8%),10.1% (5.6—16.0%),85% (65—96%)
Green Corner Ward,"23,470",1 (0.3—3.2%),9.5% (5.2—15.3%),87% (69—96%)
Kapeni,"96,000",1 (0.4—3.6%),10.5% (6.0—17.0%),87% (70—96%)
Kuntaja,"78,370",1 (0.3—3.2%),9.2% (5.2—14.7%),86% (68—96%)
Kunthembwe,"42,380",1 (0.2—2.2%),6.9% (3.7—11.8%),87% (71—96%)
Limbe Central Ward,"7,820",1 (0.4—3.4%),9.9% (5.6—16.0%),86% (68—96%)
Lundu,"87,240",1 (0.2—2.5%),7.7% (4.1—13.2%),88% (72—97%)
Machinjiri,"27,730",2 (0.4—4.1%),11.7% (6.7—18.8%),86% (69—96%)
Makata,"18,420",1 (0.3—3.5%),9.7% (5.3—16.0%),86% (68—96%)
Mapanga Ward,"43,760",2 (0.4—4.1%),11.4% (6.5—18.1%),86% (69—96%)
Mbayani Ward,"72,290",2 (0.4—3.8%),10.4% (5.8—16.6%),85% (66—96%)
Michiru Ward,"87,030",2 (0.4—4.2%),11.3% (6.3—17.9%),85% (66—96%)
Misesa Ward,"72,300",1 (0.3—3.4%),10.0% (5.7—16.2%),87% (69—96%)
Mzedi Ward,"39,780",1 (0.4—3.8%),10.6% (6.1—17.5%),86% (67—96%)
Namalimwe Ward,"11,770",1 (0.4—3.5%),9.7% (5.4—15.7%),86% (67—96%)
Namiyango Ward,"50,450",1 (0.4—3.8%),10.6% (6.1—17.7%),86% (69—96%)
Ndirande Gamulani Ward,"37,150",2 (0.4—4.1%),10.9% (6.2—17.7%),85% (67—96%)
Ndirande Makata Ward,"29,450",1 (0.4—3.8%),10.4% (5.9—16.9%),86% (66—96%)
Ndirande Matope Ward,"34,860",1 (0.4—3.6%),10.4% (5.8—17.0%),86% (68—96%)
Nkolokoti Ward,"59,830",1 (0.3—3.6%),10.6% (5.9—17.1%),87% (69—96%)
Nyambadwe Ward,"10,320",2 (0.4—4.0%),10.4% (5.8—17.0%),85% (65—96%)
Soche East Ward,"10,060",1 (0.3—3.3%),9.5% (5.4—15.3%),86% (69—96%)
Soche West Ward,"39,370",1 (0.3—3.3%),9.6% (5.4—15.5%),87% (68—96%)
Somba,"76,420",1 (0.3—2.8%),8.9% (5.1—14.8%),88% (73—97%)
South Lunzu Ward,"55,780",2 (0.4—4.2%),11.7% (6.7—18.8%),86% (68—96%)
