Health Facility,Code,Type,Traditional Authority,Setting
Alumenda Health Centre,ALMD,Health centre,TA Ngabu,Rural
Bereu Health Post,BUR,Health post,TA Maseya,Rural
Chapananga Health Centre,CPNG,Health centre,TA Chapananga,Rural
Chikwawa District Hospital,CDHC,District hospital,TA Kasisi,Semi-urban
Chipwaila Health Centre,CPWL,Health centre,TA Ngabu,Rural
Chithumba Health Centre,CHEC,Health centre,TA Chapananga,Rural
Dolo Health Centre,DOLO,Health centre,TA Ngabu,Rural
Gaga Health Centre,GAGA,Health centre,TA Chapananga,Rural
Gola Health Centre,GOHP,Health centre,TA Chapananga,Rural
Kakoma Health Centre,KKMA,Health centre,TA Chapananga,Rural
Kalulu Health Centre Chikwawa,KLLU,Health centre,TA Lundu,Rural
Lengwe Health Centre,LEGW,Health centre,TA Lundu,Rural
Majete (Epicenter) Health Centre,MAJT,Health centre,TA Chapananga,Rural
Makhwira Health Centre,MKWR,Health centre,TA Makhwira,Rural
Mapelera Health Centre,MPLH,Health centre,TA Makhwira,Rural
Mfera Health Centre,MFEL,Health centre,TA Katunga,Rural
Misomali Health Centre,MSML,Health centre,TA Chapananga,Rural
Mkumaniza Health Centre,MKUM,Health centre,TA Ngabu,Rural
Mwanza Clinic Area 3,MZAC,Health centre,TA Lundu,Rural
Nchalo Health Centre,NCHC,Health centre,TA Lundu,Rural
Ndakwera Health Centre,NDKH,Health centre,Senior TA Ndakwela,Rural
Ngabu Rural Hospital,NRH,Rural / community hospital,TA Ngabu,Rural
Ngabu SDA Health Centre,NGSD,Health centre,TA Ngabu,Rural
St Montfort Hospital,SMMH,Other hospital,TA Lundu,Rural
Sucoma Clinic Illovo,SICM,Health centre,TA Lundu,Rural
