Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chapananga,"85,730",0 (0.1—1.2%),4.7% (2.6—8.2%),90% (76—97%)
Chikwawa Boma,"5,940",1 (0.2—2.4%),8.5% (4.4—14.2%),89% (75—97%)
Kasisi,"22,530",1 (0.2—2.0%),6.5% (3.4—11.1%),88% (73—97%)
Katunga,"31,860",1 (0.2—2.6%),9.1% (4.9—15.1%),89% (75—97%)
Lengwe National Park,530,1 (0.2—1.8%),6.5% (3.3—11.6%),89% (75—97%)
Lundu,"91,470",1 (0.3—2.9%),10.1% (5.6—17.2%),90% (75—97%)
Majete Game Reserve - Chikwawa,210,1 (0.1—1.4%),4.9% (2.6—8.3%),89% (74—97%)
Makhwira,"77,370",1 (0.2—2.4%),8.5% (4.7—14.5%),90% (75—97%)
Maseya,"36,520",1 (0.2—2.7%),9.2% (5.0—15.5%),89% (75—97%)
Mlilima,"11,600",1 (0.2—2.5%),8.9% (4.7—15.0%),89% (74—97%)
Ngabu,"165,460",1 (0.2—2.3%),8.8% (5.0—14.6%),90% (77—97%)
Ngabu Urban,"6,820",1 (0.2—2.3%),9.2% (5.1—15.6%),91% (78—98%)
Ngowe,"10,080",1 (0.2—2.5%),8.9% (4.9—15.4%),90% (76—97%)
STA Masache,"21,370",1 (0.2—2.2%),7.7% (3.9—13.7%),90% (75—97%)
STA Ndakwela,"22,880",1 (0.2—2.3%),7.9% (4.1—13.5%),90% (74—97%)
