Health Facility,Code,Type,Traditional Authority,Setting
Bilal Clinic,BLAL,Special / other site,TA Mpama,Semi-urban
Chimwawa Health Centre,CHIW,Health centre,TA Nkalo,Rural
Chiradzulu District Hospital,CRDZ,District hospital,TA Mpama,Semi-urban
Chitera Health Centre,CTER,Health centre,TA Chitera,Rural
Malavi Health Centre,MLHC,Health centre,TA Likoswe,Semi-urban
Mauwa Health Centre,MUWA,Health centre,TA Mchema,Rural
Mbulumbuzi Health Centre,MBLZ,Health centre,TA Mpama,Rural
Milepa Health Centre,MLPA,Health centre,TA Mchema,Rural
Namadzi Health Centre,NMDZ,Health centre,TA Mchema,Rural
Namitambo Health Centre,NMTH,Health centre,Senior TA Mpunga,Rural
Ndunde Health Centre,NDEH,Health centre,TA Kadewere,Rural
Nkalo Health Centre,NKLO,Health centre,TA Nkalo,Rural
PIM Health Centre,PIMH,Health centre,Senior TA Onga,Rural
St Joseph Mission Hospital Nguludi,SJMH,Other hospital,TA Likoswe,Rural
Thumbwe Health Centre,TBHC,Health centre,TA Kadewere,Rural
