Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chiradzulu Boma,"3,090",1 (0.3—3.2%),11.2% (6.1—18.0%),89% (75—97%)
Chitera,"23,690",1 (0.3—3.5%),9.7% (5.4—15.9%),86% (67—96%)
Kadewere,"56,020",1 (0.3—3.6%),10.2% (5.9—16.7%),87% (69—96%)
Likoswe,"71,230",2 (0.4—4.2%),11.2% (6.3—18.4%),86% (67—96%)
Mpama,"52,890",1 (0.4—3.9%),10.8% (6.2—17.6%),86% (69—96%)
Nchema,"22,620",1 (0.3—3.3%),9.8% (5.2—16.2%),88% (70—97%)
Nkalo,"56,420",1 (0.3—3.6%),11.7% (6.7—19.0%),88% (71—97%)
STA Mpunga,"42,670",1 (0.4—3.6%),10.2% (5.6—17.0%),86% (67—96%)
STA Onga,"18,390",1 (0.3—3.5%),10.9% (6.0—17.8%),88% (72—97%)
STA Sandareki,"23,570",1 (0.3—3.2%),9.7% (5.4—16.4%),88% (71—97%)
