Health Facility,Code,Type,Traditional Authority,Setting
Chambo Health Centre,CMBO,Health centre,TA Mwenewenya,Rural
Chisasu Health Post,CASU,Health post,TA Mwenemisuku,Rural
Chitipa District Hospital,CDH,District hospital,TA Mwabulambya,Semi-urban
Ifumbo Health Centre,IFBO,Health centre,TA Mwabulambya,Rural
Kameme Health Centre,KMME,Health centre,TA Kameme,Rural
Kapenda Health Centre,KPDA,Health centre,Senior TA Bulambya Songwe,Rural
Kaseye Mission Hospital,KSYE,Other hospital,TA Mwabulambya,Rural
Mahowe Health Centre,MAHQ,Health centre,Senior TA Nthengatenga,Rural
Misuku Health Centre,MSKU,Health centre,TA Mwenemisuku,Rural
Msumbe Health Centre,MSUM,Health centre,Senior TA Lwangwa,Rural
Nthalire Health Centre,NTAR,Health centre,TA Nthalire,Rural
Wenya Health Centre,WEHC,Health centre,TA Mwenewenya,Rural
