Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chitipa Boma,"18,460",1 (0.1—1.4%),2.9% (1.3—5.6%),82% (61—95%)
Kameme,"24,990",1 (0.1—1.3%),2.5% (1.1—5.1%),80% (57—94%)
Mwabulambya,"69,640",0 (0.1—1.1%),2.4% (1.2—4.4%),83% (62—95%)
Mwenemisuku,"26,790",0 (0.1—1.0%),2.0% (1.0—3.7%),80% (56—94%)
Mwenewenya,"24,510",0 (0.1—1.0%),2.4% (1.1—4.4%),85% (65—96%)
Nthalire,"20,020",0 (0.1—0.8%),2.2% (1.0—4.0%),87% (68—97%)
Nyika Ntational Park-Chitipa,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
STA Bulambya Songwe,"35,290",0 (0.1—1.2%),2.2% (1.1—4.2%),80% (57—94%)
STA Lwangwa,"5,810",1 (0.2—1.6%),2.9% (1.4—5.2%),78% (53—93%)
STA Nthengatenga,"10,740",0 (0.1—1.0%),2.6% (1.2—4.9%),86% (67—96%)
STA Wavikaza,"7,010",0 (0.1—0.8%),2.3% (0.9—4.7%),87% (69—97%)
