Health Facility,Code,Type,Traditional Authority,Setting
Bembeke Health Centre,BMBK,Health centre,TA Kamenya Gwaza,Rural
Chikuse Health Centre,CKSE,Health centre,TA Kasumbu,Rural
Chimoto Health Centre,CMTO,Health centre,TA Kachere,Rural
Chiphwanya St Joseph Health Centre,CPWY,Health centre,TA Tambala,Rural
Chitowo Health Centre,CTWO,Health centre,TA Kaphuka,Rural
Chongoni Health Centre,CONI,Health centre,TA Kaphuka,Rural
Dedza District Hospital,DZAH,District hospital,TA Kamenya Gwaza,Semi-urban
Dzindevu Health Centre,DZDV,Health centre,TA Kasumbu,Rural
FPAM Clinic Dedza,FPAD,Health centre,TA Kachere,Urban
Golomoti Health Centre,GLMT,Health centre,TA Kachindamoto,Rural
Kachindamoto Health centre,KACH,Health centre,TA Kachindamoto,Rural
Kafele Health Centre,KFEL,Health centre,TA Kachere,Rural
Kalulu Health Centre Dedza,KALH,Health centre,TA Tambala,Rural
Kanyama Health Centre,KYMA,Health centre,TA Kasumbu,Rural
Kanyezi Health Centre,KNZ,Health centre,TA Chilikumwendo,Rural
Kaphuka Health Centre,KPHA,Health centre,TA Kaphuka,Rural
Kasina Health Centre,KSNA,Health centre,TA Kaphuka,Rural
Kaundu Health Centre,KUDU,Health centre,TA Kachindamoto,Rural
Lobi Rural Hospital,LBRH,Health centre,TA Kachere,Rural
Matumba Health Centre,MTBA,Health centre,TA Chilikumwendo,Rural
Mayani Health Centre,MYNI,Health centre,TA Tambala,Rural
Mdeza Health Centre,MEDZ,Health centre,TA Chilikumwendo,Rural
Mganja Health Centre,MGJA,Health centre,TA Kachindamoto,Rural
Mikondo Dispensary,MKDO,Dispensary,TA Kachere,Rural
Mjini Health Centre,MJHC,Health centre,TA Tambala,Rural
Mlangali Health Centre,MLG,Health centre,TA Kachere,Rural
Mphati Health Centre,MPHT,Health centre,TA Kachere,Rural
Mphunzi Health Centre,MPZH,Health centre,TA Kachere,Rural
Mtakataka Health Centre,MTAK,Health centre,TA Kachindamoto,Rural
Mtendere Health Centre,MTDR,Health centre,TA Kachere,Rural
Mua Mission Hospital,MUAH,Other hospital,TA Kachindamoto,Rural
Nakalazi Health Centre,NKZH,Health centre,TA Kachindamoto,Rural
Tsoyo Dispensary,TSOY,Special / other site,TA Chauma,Rural
