Health Facility,Code,Type,Traditional Authority,Setting
Bowe Health Centre,BOWE,Health centre,TA Chakhaza,Rural
Chakhadza Health Centre,CKZ,Health centre,TA Chakhaza,Rural
Chankhungu Health Centre,CNGU,Health centre,TA Mkukula,Rural
Chinkhwiri Health Centre,CKWR,Health centre,TA Chakhaza,Rural
Chisepo Health Centre,CSPO,Health centre,TA Kayembe,Rural
Chizolowondo Health Centre,CZLW,Health centre,TA Chakhaza,Rural
Dowa District Hospital,DDH,District hospital,Dowa Boma,Semi-urban
Dzaleka Health Centre,DLKA,Health centre,TA Mkukula,Rural
Dzoole Health Centre,DZLE,Health centre,TA Dzoole,Rural
Kasese Health Centre,LNKS,Health centre,TA Chakhaza,Semi-urban
Kayembe Health Centre,KYBE,Health centre,TA Kayembe,Rural
Madisi Mission Hospital,MDMH,Other hospital,TA Chakhaza,Semi-urban
Mbingwa Health Centre,MBGW,Health centre,TA Kayembe,Rural
Mponela Rural Hospital,MPO,Rural / community hospital,Mponela Urban,Semi-urban
Msakambewa Health Centre,MSKB,Health centre,TA Msakambewa,Rural
Mtengowanthenga Community Hospital,MTGC,Other hospital,TA Mkukula,Rural
Mtengowanthenga Dream Project,MTGD,Special / other site,TA Mkukula,Rural
Mvera Mission Hospital,MVER,Health centre,TA Chiwere,Rural
Mwangala Health Centre,MALA,Health centre,TA Msakambewa,Rural
Nalunga Mafika Health Centre,NLGH,Health centre,TA Chiwere,Rural
Thonje Health Centre,TOHC,Health centre,TA Chiwere,Rural
