Health Facility,Code,Type,Traditional Authority,Setting
Atupele Health Centre,AHC,Health centre,TA Kilupula,Rural
Chilumba Rural Hospital,CRBH,Rural / community hospital,TA Wasambo,Rural
Fulirwa Health Centre,FLRW,Health centre,TA Wasambo,Rural
Hara Dispensary,HARA,Dispensary,TA Wasambo,Rural
Iponga Health Centre,IPOG,Health centre,TA Mwakaboko,Rural
Kaporo Rural Hospital,KRH,Rural / community hospital,TA Kilupula,Rural
Karonga District Hospital,KRGA,District hospital,TA Kyungu,Semi-urban
Kasoba Health Centre,KSBA,Health post,TA Kyungu,Rural
Kayerekera Health Centre,KYHC,Health centre,TA Kyungu,Rural
Lupembe Health Centre,LPME,Health centre,TA Kyungu,Rural
Lwezga Health Centre,LWZA,Health centre,TA Wasambo,Rural
Mpata Health Centre,MPTA,Health centre,TA Kyungu,Rural
Ngana Health Centre,NGAH,Health centre,TA Mwakaboko,Rural
Nyungwe Health Centre,NYHC,Health centre,TA Mwirang'ombe,Rural
Sangilo Health Centre,SOHC,Health centre,TA Wasambo,Rural
St Anne's Health Centre,SAHC,Health centre,TA Wasambo,Rural
Wiliro Health Centre,WIHC,Health centre,TA Kyungu,Rural
