Health Facility,Code,Type,Traditional Authority,Setting
Anchor Farm Health Centre,ANCH,Health centre,TA Chaima,Rural
Bua Dispensary,BUAD,Dispensary,TA Njombwa,Rural
Chamwabvi Dispensary,CMWV,Dispensary,TA Chilowamatambe,Rural
Chulu Health Centre,CULU,Health centre,TA Chulu,Rural
Dwangwa Health Centre,DGWA,Health centre,Senior TA Mphomwa,Rural
Gogode Dispensary,GGDE,Health centre,TA Kaomba,Rural
Kakwale Health Centre,KAHC,Health centre,TA Kaluluma,Rural
Kaluluma Rural Hospital,KLRH,Rural / community hospital,TA Kaluluma,Rural
Kamboni Health Centre,KBNI,Health centre,TA Kawamba,Rural
Kapelula Health Centre,KPLA,Health centre,TA Kapelula,Rural
Kasalika Health Centre,KSRK,Health centre,TA Kaomba,Rural
Kasungu District Hospital,KDH,District hospital,TA Kaomba,Semi-urban
Kawamba Health Centre,KWBA,Health centre,TA Kawamba,Rural
Khola Health Centre,KHOL,Health centre,TA Chidzuma,Rural
Linyangwa Health Centre,LNYG,Health centre,TA Lukwa,Rural
Livwezi Health Centre,LQVW,Health centre,TA Wimbe,Rural
Lodjwa Health Centre,LJWA,Health centre,Senior TA Chisikwa,Rural
Mdunga Health Centre,MDGA,Health centre,Senior TA Mdunga,Rural
Mkhota Rural Growth Health Centre,NRGC,Health centre,TA Santhe,Rural
Mnyanja Health Centre,MNYJ,Health centre,Senior TA M'nyanja,Rural
Mpepa Health Centre,MPPA,Health centre,Senior TA Chisinga,Rural
Mtunthama Health Centre,MTHC,Health centre,TA Wimbe,Rural
Mziza Health Centre,MZAH,Health centre,TA Njombwa,Rural
Nkhamenya Community Hospital,NCMH,Other hospital,TA Kaluluma,Rural
Ofesi Dispensary,OFD,Health centre,Senior TA M'nyanja,Rural
Santhe Health Centre,STHC,Health centre,TA Santhe,Rural
Simulemba Health Centre,SMHC,Health centre,TA Simlemba,Rural
St Andrews Clinic,SAC,Special / other site,TA Wimbe,Semi-urban
St Augustine Health Centre,STAQ,Health centre,TA Wimbe,Rural
St Faith Anglican Clinic,FAIT,Health centre,TA Wimbe,Rural
Wimbe Health Centre,WHC,Health centre,TA Wimbe,Rural
