Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chidzuma,"21,170",0 (0.1—1.1%),2.5% (1.3—4.5%),83% (63—95%)
Chilowamatambe,"37,270",1 (0.1—1.4%),2.9% (1.5—5.1%),82% (62—95%)
Chisemphere,"12,240",0 (0.1—1.3%),2.2% (1.1—4.0%),78% (53—93%)
Chulu,"34,690",0 (0.1—1.1%),2.2% (1.1—4.0%),79% (55—94%)
Kaluluma,"40,010",0 (0.1—1.3%),2.3% (1.2—4.0%),79% (54—94%)
Kaomba,"53,970",1 (0.2—1.5%),3.5% (1.9—6.0%),82% (61—95%)
Kapelula,"33,180",0 (0.1—0.8%),1.7% (0.8—3.3%),81% (59—95%)
Kaphaizi,"2,350",1 (0.1—1.4%),3.1% (1.5—5.7%),81% (59—95%)
Kasungu Boma,"61,840",1 (0.2—1.8%),4.5% (2.4—7.8%),83% (62—95%)
Kasungu National Park,930,0 (0.1—1.2%),2.3% (1.1—4.1%),80% (57—94%)
Kawamba,"47,200",0 (0.1—1.0%),2.4% (1.2—4.2%),84% (64—95%)
Lukwa,"32,180",1 (0.1—1.3%),3.0% (1.5—5.3%),82% (60—95%)
Mwase,"33,450",1 (0.2—1.5%),3.3% (1.7—5.9%),82% (61—95%)
Njombwa,"52,980",1 (0.1—1.4%),3.1% (1.6—5.5%),82% (61—95%)
STA Chaima,"27,130",0 (0.1—1.1%),2.6% (1.3—4.7%),84% (64—95%)
STA Chambwe,"14,340",0 (0.1—1.4%),2.7% (1.3—4.8%),81% (59—95%)
STA Chisikwa,"8,240",0 (0.1—1.1%),2.2% (1.1—3.8%),81% (58—95%)
STA Chisinga,"24,150",0 (0.1—1.1%),2.1% (1.0—3.9%),80% (56—94%)
STA Kapichira,"7,620",0 (0.1—1.0%),1.7% (0.7—3.7%),80% (57—94%)
STA M'nyanja,"40,670",0 (0.1—1.1%),2.0% (1.0—3.6%),79% (55—94%)
STA Mangwazu,"5,940",1 (0.1—1.4%),3.0% (1.5—5.6%),81% (59—95%)
STA Mawawa,"8,520",1 (0.1—1.3%),2.9% (1.4—5.3%),81% (59—95%)
STA Mdunga,"14,490",0 (0.1—0.9%),1.7% (0.8—3.4%),81% (58—95%)
STA Mphomwa,"24,200",0 (0.1—1.2%),2.2% (1.1—4.1%),80% (56—94%)
STA Nthunduwala,"11,830",0 (0.1—1.1%),2.5% (1.2—4.6%),83% (63—96%)
Santhe,"60,990",0 (0.1—1.2%),2.4% (1.3—4.2%),82% (60—95%)
Simlemba,"42,400",0 (0.1—0.9%),1.7% (0.8—3.0%),79% (55—94%)
Wimbe,"131,660",0 (0.1—1.0%),2.3% (1.2—4.0%),81% (60—94%)
