Health Facility,Code,Type,Traditional Authority,Setting
African Bible College Clinic,ABCC,Special / other site,TA Njewa,Urban
Area 18 Health Centre,AREH,Health centre,TA Chimutu,Urban
Area 25 Health Centre,ARHC,Health centre,TA Chitukula,Urban
Baylor Childrens Centre Of Excellence In Malawi,BCCE,Other hospital,TA Chimutu,Urban
Biwi Health Centre,BHCT,Health centre,TA Tsabango,Urban
Bwaila Hospital,BWIR,Other hospital,TA Tsabango,Urban
Chadza Health Centre,CDZA,Health centre,TA Chadza,Rural
Chikowa Health Centre Lilongwe,CKWA,Health centre,TA Kabudula,Rural
Chileka Health Centre Lilongwe Static Art,CLKA,Health centre,TA Kalolo,Rural
Chilobwe Majiga Health Centre,CMHC,Health centre,TA Khongoni,Urban
Chimbalanga Health Centre,CMLG,Health centre,Senior TA Chitekwele,Rural
Chioza Health Centre,IOZA,Health centre,TA Chiseka,Rural
Chitedze Health Centre,CTDZ,Health centre,TA Njewa,Rural
Chiunjiza Health Centre,CUJZ,Health centre,TA Masula,Rural
Chiwamba Health Centre,CWBA,Health centre,TA Chimutu,Rural
Daeyang Luke Hospital,DYLH,Other hospital,TA Chitukula,Urban
Diamphwi Health Centre,DPWI,Health centre,TA Mazengera,Rural
Dickson Health Centre,DKSN,Health centre,TA Masula,Rural
Dzenza Health Centre,DZEZ,Health centre,TA Chitukula,Urban
Kabudula Rural Hospital,KBDL,Rural / community hospital,TA Kabudula,Rural
Kamuzu Central Hospital,KCH,Central hospital,TA Tsabango,Urban
Kang'oma Health Centre,KGMA,Health centre,TA Tsabango,Rural
Katchale Health Centre,KTLE,Health centre,TA Chadza,Rural
Kawale Health Centre,KWLH,Health centre,TA Tsabango,Urban
Khongoni Health Centre,KGON,Health centre,TA Khongoni,Rural
Lighthouse,LH,Special / other site,TA Tsabango,Urban
Likuni Mission Hospital,LMH,Other hospital,TA Malili,Urban
Lilongwe City Assembly Chinsapo,LCAC,Special / other site,TA Malili,Urban
Lumbadzi Health Centre,LBDZ,Health centre,TA Chitukula,Urban
MACRO Lilongwe,MCRL,Special / other site,TA Tsabango,Urban
Malembo Health Centre Lilongwe,MHCL,Health centre,TA Khongoni,Rural
Malingunde Health Centre,MLGD,Health centre,TA Masumbankhunda,Rural
Maluwa Health Centre,MWHC,Health centre,TA Chadza,Rural
Matapila Health Centre,MTPL,Health centre,TA Mazengera,Rural
Mbabvi Health Centre,MBVI,Health centre,TA Njewa,Rural
Mbang'ombe 1 Health Centre,MBG,Health centre,TA Kalolo,Rural
Mbang'ombe 2 Health Centre,MGBE,Health centre,Senior TA Mbang'ombe,Rural
Mbwatalika Health Centre,MBTL,Health centre,TA Mbwatalika,Rural
McGuire Wellness Center (Child Legacy),MCG,Health centre,TA Kalolo,Rural
Ming'ongo Health Centre,MGOG,Health centre,TA Kalolo,Urban
Mitundu Community Hospital,MTCH,Rural / community hospital,TA Chiseka,Rural
Mlale Mission Hospital,MLLE,Rural / community hospital,TA Chiseka,Rural
Mtenthera Health Centre,MTTL,Health centre,TA Kalumbu,Rural
NRC Clinic Lilongwe,NRCL,Health centre,TA Malili,Rural
Nambuma Health Centre,NMBU,Health centre,TA Kabudula,Rural
Nathenje Health Centre,NTJH,Health centre,TA Chadza,Rural
Ndaula Health Centre,ULAH,Health centre,TA Masumbankhunda,Rural
New State House Dispensary,NSHD,Dispensary,TA Tsabango,Urban
Ngoni Health Centre,NGOH,Health centre,TA Mtema,Rural
Nkhoma Mission Hospital,NMH,Other hospital,TA Mazengera,Rural
Nsaru Health Centre,NSAH,Health centre,TA Kabudula,Rural
Nthondo Health Centre Lilongwe,NDHC,Health centre,TA Kalolo,Urban
Partners In Hope Clinic,PIHC,Special / other site,TA Tsabango,Urban
St Gabriel Mission Hospital,SGMH,Other hospital,TA Kalolo,Rural
St John of God Hospitaller Services Lilongwe,STGJ,Health centre,Area 43,Urban
Ukwe Health Centre,UKHC,Health centre,TA Kabudula,Rural
