Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Area 1,"10,000",2 (0.5—4.4%),8.7% (4.9—15.0%),79% (56—93%)
Area 10,"3,490",2 (0.4—3.9%),7.7% (4.3—12.7%),79% (55—94%)
Area 11,490,2 (0.5—4.1%),8.1% (4.5—13.5%),79% (55—94%)
Area 12,"2,760",2 (0.4—4.0%),7.9% (4.4—13.2%),79% (55—94%)
Area 13,0,2 (0.5—4.3%),8.4% (4.8—14.0%),79% (55—93%)
Area 14,780,2 (0.5—4.1%),8.0% (4.6—13.3%),79% (55—93%)
Area 15,"1,320",2 (0.5—4.2%),8.3% (4.7—13.9%),79% (55—93%)
Area 17,450,2 (0.5—4.3%),8.5% (4.8—13.9%),79% (55—93%)
Area 18,"9,470",2 (0.5—4.1%),7.8% (4.3—13.0%),79% (55—93%)
Area 2,"2,750",2 (0.5—4.4%),9.0% (5.2—15.0%),79% (57—93%)
Area 20,0,2 (0.5—4.2%),7.9% (4.4—13.0%),79% (54—93%)
Area 21,"46,970",2 (0.5—4.3%),8.3% (4.7—14.0%),79% (56—93%)
Area 22,"35,810",2 (0.5—4.3%),8.2% (4.6—14.4%),78% (55—93%)
Area 23,"55,190",2 (0.4—3.9%),7.5% (4.0—12.8%),79% (56—94%)
Area 24,"39,470",2 (0.4—3.8%),7.3% (4.1—12.6%),78% (55—93%)
Area 25,"114,560",1 (0.4—3.5%),6.5% (3.6—10.9%),77% (52—93%)
Area 26,"7,250",1 (0.4—3.2%),6.2% (3.4—10.6%),78% (54—93%)
Area 27,"3,420",1 (0.4—3.0%),6.1% (3.3—10.2%),79% (55—93%)
Area 28,100,2 (0.4—3.7%),7.2% (4.1—12.0%),79% (55—93%)
Area 29,430,1 (0.4—3.4%),6.7% (3.7—11.2%),79% (55—93%)
Area 3,"3,580",2 (0.5—4.4%),8.7% (4.9—14.5%),79% (55—93%)
Area 30,"2,640",2 (0.4—3.9%),7.6% (4.4—12.6%),79% (55—93%)
Area 31,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
Area 32,110,2 (0.5—4.3%),8.5% (4.9—14.0%),79% (56—93%)
Area 33,700,2 (0.5—4.3%),8.9% (5.0—14.7%),79% (56—94%)
Area 34,60,2 (0.5—4.2%),8.2% (4.6—13.8%),79% (55—94%)
Area 35,"10,930",2 (0.5—4.0%),7.8% (4.3—13.1%),79% (56—94%)
Area 36,"98,820",2 (0.5—4.0%),7.9% (4.4—13.6%),78% (55—93%)
Area 37,620,2 (0.5—4.4%),8.8% (5.0—15.0%),79% (56—93%)
Area 38,"23,940",1 (0.4—3.3%),6.6% (3.5—11.5%),79% (55—93%)
Area 39,"6,610",1 (0.4—3.3%),6.5% (3.5—10.9%),79% (54—93%)
Area 4,90,2 (0.5—4.4%),8.8% (5.0—14.8%),79% (55—93%)
Area 41,250,2 (0.4—3.8%),7.7% (4.2—12.9%),80% (55—94%)
Area 43,"6,670",2 (0.4—3.8%),7.3% (4.1—12.0%),79% (55—93%)
Area 44,"67,590",1 (0.4—3.3%),6.9% (3.8—11.8%),80% (57—94%)
Area 45,"3,970",2 (0.5—4.3%),8.0% (4.5—13.4%),76% (51—92%)
Area 46,"7,100",2 (0.5—4.2%),8.1% (4.5—13.4%),77% (52—93%)
Area 47,"12,630",2 (0.5—4.2%),8.1% (4.5—13.5%),79% (55—93%)
Area 48,30,2 (0.5—4.0%),7.8% (4.2—12.8%),78% (54—93%)
Area 49,"56,730",2 (0.4—3.9%),7.3% (4.0—11.9%),78% (53—93%)
Area 5,350,2 (0.5—4.3%),8.6% (4.9—14.3%),79% (55—93%)
Area 50,"88,180",2 (0.4—3.7%),7.1% (3.9—11.7%),78% (54—93%)
Area 51,"17,860",1 (0.4—3.5%),6.8% (3.8—11.4%),79% (54—93%)
Area 52,"6,420",1 (0.2—2.3%),4.3% (2.2—7.8%),79% (55—94%)
Area 53,"23,810",1 (0.2—2.2%),4.2% (2.2—7.3%),80% (56—94%)
Area 54,"6,510",1 (0.3—2.8%),5.5% (2.9—9.4%),79% (55—94%)
Area 55,"23,270",1 (0.3—2.7%),5.1% (2.6—8.9%),78% (54—93%)
Area 56,"70,870",2 (0.5—4.0%),7.6% (4.1—12.6%),78% (54—93%)
Area 57,"94,610",2 (0.5—4.3%),7.8% (4.3—13.0%),76% (51—92%)
Area 58,"34,640",2 (0.5—3.9%),6.9% (3.6—11.5%),75% (50—92%)
Area 6,"1,790",2 (0.5—4.3%),8.5% (4.8—14.1%),79% (56—93%)
Area 7,"28,210",2 (0.5—4.4%),8.7% (5.0—14.4%),79% (55—93%)
Area 8,"19,260",2 (0.5—4.4%),8.8% (5.0—14.8%),79% (56—93%)
Area 9,"2,200",2 (0.5—4.4%),8.5% (4.8—14.2%),79% (54—93%)
Chadza,"149,950",1 (0.2—1.6%),3.0% (1.6—5.4%),78% (55—93%)
Chimutu,"117,580",1 (0.2—1.8%),3.8% (2.0—6.4%),81% (60—94%)
Chiseka,"147,910",1 (0.2—1.8%),3.2% (1.7—5.6%),76% (51—92%)
Chitukula,"26,680",1 (0.2—1.8%),3.3% (1.7—5.7%),77% (52—93%)
Kabudula,"152,110",0 (0.1—1.1%),2.0% (1.1—3.5%),77% (53—93%)
Kalolo,"185,580",1 (0.2—1.5%),2.9% (1.6—5.1%),79% (56—93%)
Kalumba,"44,460",1 (0.3—3.0%),6.0% (3.2—10.6%),78% (54—93%)
Kalumbu,"71,850",0 (0.1—1.0%),2.3% (1.1—3.9%),82% (62—94%)
Khongoni,"146,880",0 (0.1—0.9%),1.8% (0.9—3.2%),81% (58—94%)
Malili,"121,550",1 (0.3—2.9%),5.4% (2.9—9.1%),78% (54—93%)
Masula,"88,030",1 (0.2—1.5%),2.6% (1.3—4.5%),76% (51—92%)
Masumbankhunda,"90,620",1 (0.2—1.7%),3.2% (1.6—5.7%),78% (54—93%)
Mazengera,"121,590",0 (0.1—1.1%),2.4% (1.3—4.2%),81% (58—94%)
Mtema,"68,520",1 (0.2—1.9%),3.2% (1.7—5.5%),76% (50—92%)
Njewa,"52,200",1 (0.4—3.2%),6.0% (3.3—9.9%),77% (52—93%)
STA Chitekwele,"50,880",0 (0.1—0.9%),2.1% (1.0—3.7%),83% (62—95%)
STA Mbang'ombe,"12,590",1 (0.1—1.3%),2.4% (1.2—4.2%),77% (51—93%)
Tsabango,"66,140",1 (0.3—2.7%),5.8% (3.2—10.0%),80% (58—94%)
