Health Facility,Code,Type,Traditional Authority,Setting
Chamba Dispensary,CBDA,Dispensary,TA Chamba,Rural
Chikweo Health Centre,CKWO,Health centre,TA Chikweo,Rural
Gawanani Health Centre,GWNN,Health centre,TA Nkula,Rural
Kawinga Health Centre,KWGA,Health centre,TA Kawinga,Rural
Machinga District Hospital,MACH,District hospital,TA Kasitola,Semi-urban
Machinga Health Centre,MCGH,Health centre,TA Nkula,Semi-urban
Mangamba Health Centre,MGBA,Health centre,TA Liwonde,Rural
Mbanila Helath Centre,MBLA,Health centre,TA Kawinga,Rural
Mbonechera Health Centre,MBNQ,Health centre,TA Liwonde,Rural
Mkwepere Health Centre,MKWP,Dispensary,TA Nyambi,Rural
Mlomba Health Centre,MLBA,Health centre,TA Mlomba,Rural
Mpiri Health Centre,MPHC,Health centre,TA Nkoola,Rural
Mposa Health Centre,MPSA,Health centre,TA Mposa,Rural
Namandanje Health Centre,NMDA,Health centre,TA Liwonde,Rural
Namanja Health Centre,NMJH,Health centre,Senior TA Nchinguza,Rural
Nayinunje Health Centre,NAHC,Health centre,TA Kapoloma,Rural
Nayuchi Health Centre,NAYH,Health centre,TA Mchinguza,Rural
Ngokwe Health Centre,NKWH,Health centre,TA Ngokwe,Rural
Nsanama Health Centre,NNMC,Health centre,TA Mlomba,Rural
Ntaja Health Centre,NHCM,Health centre,TA Kawinga,Rural
Ntholowa Health Centre,NTLW,Health centre,TA Mlomba,Rural
Nyambi Health Centre,NIHC,Health centre,TA Nyambi,Rural
