Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chamba,"32,830",1 (0.2—2.4%),7.4% (4.0—12.4%),88% (71—97%)
Chikweo,"83,040",0 (0.1—1.1%),3.3% (1.7—6.0%),88% (71—97%)
Chiwalo,"56,590",1 (0.2—1.7%),5.1% (2.7—8.8%),87% (69—96%)
Kapoloma,"15,700",1 (0.2—1.7%),4.8% (2.5—8.2%),87% (69—96%)
Kawinga,"91,620",1 (0.1—1.5%),4.4% (2.4—7.6%),87% (70—96%)
Liwonde,"88,720",1 (0.2—1.7%),5.3% (2.9—9.0%),88% (71—97%)
Liwonde National Park,160,1 (0.2—2.2%),6.9% (3.8—11.7%),88% (72—97%)
Liwonde Town,"36,400",1 (0.2—2.6%),8.6% (4.7—14.3%),88% (72—97%)
Machinga Boma,"1,830",1 (0.2—2.5%),8.4% (4.3—15.1%),88% (72—97%)
Mlomba,"61,870",1 (0.2—1.9%),5.2% (2.8—9.0%),87% (69—96%)
Mposa,"35,710",1 (0.2—2.2%),7.1% (3.8—12.1%),88% (72—97%)
Ngokwe,"37,550",0 (0.1—1.2%),3.1% (1.5—6.0%),86% (67—96%)
Nkoola,"53,930",0 (0.1—1.2%),3.8% (2.0—6.7%),88% (71—97%)
Nkula,"27,180",1 (0.2—2.6%),8.1% (4.4—13.8%),88% (72—97%)
Nyambi,"55,830",1 (0.1—1.4%),4.1% (2.1—6.9%),87% (70—96%)
STA Chesale,"14,570",0 (0.1—1.3%),3.3% (1.6—6.1%),86% (68—96%)
STA Nchinguza,"31,560",1 (0.1—1.6%),4.3% (1.9—8.4%),87% (70—96%)
STA Nsanama,"38,210",1 (0.2—2.2%),6.0% (3.2—10.4%),87% (69—96%)
Sitola,"24,950",1 (0.2—2.6%),8.2% (4.5—14.3%),88% (71—97%)
