Health Facility,Code,Type,Traditional Authority,Setting
Billy Riordan Memorial Health Clinic,BRMC,Health centre,TA Nankumba,Rural
Chikole Health Centre,CKLE,Dispensary,TA Chowe,Rural
Chilipa Health Centre Mangochi,CLPA,Health centre,TA Chilipa,Rural
Chilonga Health Centre,CHGA,Health centre,TA Nankumba,Rural
Chiponde Health Centre,CHIP,Health centre,TA Jalasi,Rural
Chiumbangame Health Centre,CAME,Health centre,TA Jalasi,Rural
Chiunda Health Centre,CUDA,Dispensary,Senior TA Chiunda,Rural
FPAM Clinic Mangochi,FPMA,Special / other site,TA Mponda,Semi-urban
Iba Health Centre,IBA,Health centre,TA Jalasi,Rural
Jalasi Health Centre,JLAS,Health centre,TA Jalasi,Rural
Kapire Dream Centre,KADC,Health centre,TA Chilipa,Rural
Katema Health Centre,KTMA,Health centre,TA Mponda,Rural
Katuli Health Centre,KTUL,Health centre,TA Katuli,Rural
Koche Health Centre,KCHE,Health centre,TA Mponda,Rural
Kukalanga Health Centre,KULG,Health centre,TA Chimwala,Rural
Lugola Health Centre,LGLA,Health centre,TA Makanjila,Rural
Lulanga Health Centre,LLAG,Health centre,Senior TA Lulanga,Rural
Lungwena Health Centre,LGWN,Health centre,TA Namabvi,Rural
Luwalika Health Centre,LWLK,Health centre,TA Katuli,Rural
Maganga dispensary,MGSY,Dispensary,Senior TA Lulanga,Rural
Makanjira Health Centre,MKJR,Health centre,TA Makanjila,Rural
Malembo Health Centre Mangochi,MHCM,Health centre,TA Nankumba,Rural
Malombe Health Centre,MLOB,Health centre,TA Chowe,Rural
Malukula Health Centre,MALU,Health centre,TA Chowe,Rural
Mangochi District Hospital,MAGC,District hospital,TA Mponda,Semi-urban
Mase Health Centre,MSEH,Health centre,TA Chowe,Rural
Mbalama Health Centre,MBMA,Health centre,TA Mbwana Nyambi,Rural
Mkumba Health Centre,MKBA,Health centre,TA Mbwana Nyambi,Rural
Monkeybay Community Hospital,MBCH,Rural / community hospital,Monkey Bay Urban,Rural
Mpondasi Health Centre,MPDS,Health centre,TA Mponda,Rural
Mtimabii Health Centre,MTMB,Health centre,TA Chimwala,Rural
Mulibwanji Hospital,MLBJ,Rural / community hospital,TA Mbwana Nyambi,Rural
Namalaka Health Centre,NMLK,Health centre,TA Namabvi,Rural
Namwera Health Centre,NMWH,Health centre,TA Jalasi,Rural
Nancholi Dispensary,NCLH,Dispensary,TA Mbwana Nyambi,Rural
Nangalamu Health Centre,NALH,Health centre,TA Mbwana Nyambi,Rural
Nankhwali Health Centre,NKWL,Health centre,TA Nankumba,Rural
Nankumba Health Centre,NKBA,Health centre,TA Nankumba,Rural
Ngapani Health Centre,NGA,Health centre,TA Katuli,Rural
Nkope Health Centre,NKOH,Health centre,TA Nankumba,Rural
Phirilongwe Health Centre,PWHC,Health centre,Senior TA Ntonda,Rural
Sinyala Health Centre,SYLA,Health centre,TA Mbwana Nyambi,Rural
Sister Martha Hospital,SIMH,Health centre,TA Jalasi,Rural
Somba Health Centre,SOMB,Health centre,TA Mbwana Nyambi,Rural
St Martins Mission Hospital,SMAH,Other hospital,TA Chowe,Rural
St Mary's Community Health Centre,STMC,Health centre,TA Chimwala,Rural
