Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chilipa,"38,610",1 (0.1—1.6%),5.1% (2.6—9.0%),88% (72—97%)
Chimwala,"100,020",1 (0.2—2.0%),6.9% (3.7—11.6%),89% (76—97%)
Chowe,"119,670",1 (0.2—2.6%),9.2% (5.1—15.0%),89% (74—97%)
Jalasi,"109,570",1 (0.3—2.7%),7.8% (4.3—13.1%),87% (70—96%)
Katuli,"75,830",1 (0.3—3.0%),7.4% (4.0—12.7%),84% (62—95%)
Lake Malawi National Park,130,1 (0.2—2.7%),9.0% (4.8—15.2%),89% (74—97%)
Lake Malombe,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
Makanjila,"71,350",1 (0.2—2.0%),5.2% (2.5—9.5%),86% (67—96%)
Mangochi Town,"57,320",1 (0.2—2.4%),10.0% (5.6—16.4%),91% (78—98%)
Mbwana Nyambi,"125,730",1 (0.2—1.9%),5.4% (3.0—9.2%),87% (69—96%)
Monkey Bay Urban,"15,970",1 (0.2—2.8%),9.0% (4.6—15.7%),89% (72—97%)
Mponda,"178,440",1 (0.2—2.2%),8.6% (4.9—14.4%),90% (77—97%)
Namabvi,"50,880",1 (0.3—2.9%),7.9% (4.2—13.5%),86% (67—96%)
Nankumba,"170,180",1 (0.2—2.1%),7.3% (4.1—11.9%),90% (74—97%)
STA Chiunda,"42,680",1 (0.2—2.0%),6.4% (3.4—11.3%),88% (72—97%)
STA Lulanga,"46,040",1 (0.1—1.6%),5.5% (2.8—9.5%),89% (73—97%)
STA Ntonda,"22,310",1 (0.1—1.7%),5.1% (2.6—9.1%),88% (72—97%)
