Health Facility,Code,Type,Traditional Authority,Setting
Chimwamkango Dispensary,CHMK,Dispensary,Senior TA Gumba,Rural
Chioshya Health Centre,COSH,Health centre,TA Simphasi,Rural
Chipumi Health Centre,CPMI,Health centre,TA Kapondo,Rural
Guillime Mission Hospital,GMH,Rural / community hospital,TA Zulu,Rural
Gumba Health Centre,GHC,Health centre,Senior TA Gumba,Rural
Home of Hope Clinic,QHHC,Special / other site,Senior TA Nyoka,Rural
Kaigwazanga Health Centre,KGWG,Health centre,TA Mkanda,Rural
Kapanga Health Centre,KPGA,Health centre,TA Mavwere,Rural
Kapiri Mission Hospital,KMH,Other hospital,TA Dambe,Rural
Kazyozyo Health Centre,KZYZ,Health centre,TA Kazyozyo,Rural
Kochilira Health Centre,KHC,Health centre,TA Zulu,Rural
Ludzi St Josephs Health Centre,LDZI,Health centre,TA Zulu,Rural
Mchinji BLM Clinic,MCBL,Health centre,TA Zulu,Rural
Mchinji District Hospital,MCH,District hospital,TA Zulu,Semi-urban
Mchinji Wellness Centre,MMCC,Health centre,TA Mlonyeni,Rural
Mikundi Health Centre,MKDI,Health centre,TA Mduwa,Rural
Mkanda Health Centre,MKND,Health centre,TA Mkanda,Semi-urban
Mphelero Health Centre,MPLE,Health centre,"",Rural
Namizana Health Centre,NHCE,Health centre,TA Mavwere,Rural
Nkhwazi Health Centre,NKWZ,Health centre,TA Mavwere,Rural
Tembwe Health Centre,TEHC,Health centre,TA Mlonyeni,Rural
