Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Dambe,"94,450",1 (0.1—1.3%),2.8% (1.5—5.3%),81% (60—94%)
Kapondo,"10,540",1 (0.1—1.5%),3.3% (1.7—6.0%),82% (61—95%)
Kazyozyo,"6,920",1 (0.2—1.7%),4.0% (1.8—7.4%),83% (62—96%)
Mavwere,"101,660",1 (0.1—1.3%),2.8% (1.4—4.9%),81% (59—94%)
Mchinji Boma,"27,910",1 (0.2—2.1%),5.3% (2.7—9.5%),86% (67—96%)
Mduwa,"66,200",0 (0.1—1.3%),2.6% (1.4—4.7%),81% (59—95%)
Mkanda,"74,710",1 (0.2—1.6%),3.6% (1.9—6.4%),82% (61—95%)
Mlonyeni,"57,110",1 (0.2—1.7%),4.3% (2.3—7.4%),84% (64—96%)
STA Gumba,"16,790",0 (0.1—1.2%),2.6% (1.3—4.8%),84% (63—96%)
STA Kapunula,"9,630",1 (0.2—1.9%),4.8% (2.0—9.3%),84% (63—96%)
STA Nyoka,"41,070",1 (0.2—1.7%),4.0% (2.0—6.8%),84% (63—96%)
STA Pitala,"4,700",1 (0.1—1.5%),3.4% (1.6—6.1%),82% (62—95%)
Simphasi,"50,160",0 (0.1—1.1%),2.5% (1.3—4.5%),83% (61—95%)
Zulu,"68,710",1 (0.1—1.6%),3.7% (1.9—6.4%),84% (64—96%)
