Health Facility,Code,Type,Traditional Authority,Setting
Bondo Health Centre,BODO,Health centre,Senior TA Sunganinzeru,Rural
Chambe Health Centre,CHBE,Health centre,TA Nkanda,Rural
Chinyama Health Centre,CYMA,Health centre,TA Mabuka,Rural
Chisitu Health Centre,CSTU,Health centre,TA Chikumbu,Rural
Chonde Health Centre,CODE,Health centre,TA Nthiramanja,Rural
Dzenje Maternity,DZJE,Special / other site,TA Mabuka,Rural
Kambenje Health Centre,KBJE,Health centre,TA Nkanda,Rural
Lujeri Health Centre,LJRH,Health centre,TA Mabuka,Rural
Mbiza Health Centre,MBZA,Health centre,TA Chikumbu,Rural
Milonde Health Centre,MLDE,Health centre,TA Mabuka,Rural
Mimosa Dispensary,MMSA,Dispensary,Senior TA Sunganinzeru,Rural
Minimini Dispensary,QSPE,Dispensary,TA Mabuka,Rural
Mpala Health Centre,MPLA,Health centre,TA Mabuka,Rural
Mulanje District Hospital,MDHC,District hospital,TA Mabuka,Semi-urban
Mulanje Mission Hospital,MMH,Other hospital,TA Chikumbu,Rural
Mulomba Health Centre,MLBH,Health centre,TA Nkanda,Rural
Muloza Health Centre,MLZH,Health centre,TA Laston Njema,Rural
Namasalima Health Centre Mulanje,NSLM,Health centre,TA Laston Njema,Rural
Namphungo Health Centre,NPUG,Health centre,TA Juma,Rural
Namulenga Health Centre,NAMU,Health centre,TA Juma,Rural
Naphimba Health Centre,NPMH,Health centre,TA Laston Njema,Rural
Nkomaola Health Centre,MKOM,Health centre,TA Juma,Rural
Ruo Dispensary,QRUO,Dispensary,TA Mabuka,Rural
Thembe Health Centre,TMBD,Dispensary,TA Mabuka,Rural
Thuchila Health Centre,TCHC,Health centre,TA Juma,Rural
