Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chikumbu,"91,440",1 (0.3—3.2%),12.6% (7.3—20.3%),91% (77—97%)
Juma,"114,920",1 (0.3—2.7%),9.9% (5.5—15.9%),90% (76—97%)
Laston Njema,"96,300",1 (0.3—2.9%),13.7% (7.8—22.0%),92% (80—98%)
Mabuka,"113,530",1 (0.2—2.9%),11.7% (6.6—19.5%),91% (78—98%)
Mulanje Boma,"15,610",1 (0.3—2.9%),12.9% (7.3—21.5%),92% (80—98%)
Mulanje Mountain Reserve,320,1 (0.2—2.5%),12.4% (7.3—20.1%),92% (81—98%)
Nkanda,"134,010",1 (0.2—2.5%),10.9% (6.2—17.9%),91% (79—98%)
Nthiramanja,"53,510",1 (0.3—3.5%),12.6% (7.3—20.3%),90% (75—97%)
STA Sunganinzeru,"71,920",1 (0.2—2.3%),12.0% (6.8—19.7%),93% (82—98%)
STA Tombondiya,"25,230",1 (0.2—2.7%),9.5% (5.3—16.1%),89% (75—97%)
