Health Facility,Code,Type,Traditional Authority,Setting
Bulala Health Centre,BLLA,Health centre,TA Chindi,Rural
Bwengu Health Centre,BHC,Health centre,TA Jaravikuba Munthali,Rural
Chikangawa Health Centre,CKGW,Health centre,TA Kampingo Sibande,Rural
Choma Health Centre,COMA,Health centre,TA Mtwalo,Rural
Edingeni Health Centre,EDGN,Health centre,TA M'Mbelwa,Rural
Ehehleni Dispensary,EHLN,Dispensary,TA Mzikubola,Rural
Ekwaiweni Dispensary,EKWW,Dispensary,TA Mtwalo,Rural
Ekwendeni Mission Hospital,EKDN,Other hospital,TA Mtwalo,Rural
Embangweni Mission Hospital,EMH,Other hospital,TA Mzukuzuku,Rural
Emfeni Health Centre,EHC,Health centre,TA Mabulabo,Rural
Emsizini Health Centre,EMSZ,Health centre,TA Mtwalo,Rural
Endindeni Health Centre,EDNI,Health centre,TA Chindi,Rural
Engalaweni Health Centre,ENHC,Health centre,TA M'Mbelwa,Rural
Engucwini Health Post,EGCN,Health post,TA Mtwalo,Rural
Enukweni Health Centre,ENKW,Health centre,TA Mtwalo,Rural
Euthini Community Hospital,EUTN,Rural / community hospital,TA Chindi,Rural
Hoho Health Centre,HOHO,Health centre,TA Mzikubola,Rural
Jenda Health Centre,JEDA,Health centre,TA Mzikubola,Rural
Kabuwa Health Centre,KBWA,Health centre,TA Khosolo Gwaza Jere,Rural
Kabwafu Health Centre,KBWF,Health centre,TA Mpherembe,Rural
Kafukule Health Centre,KFKL,Health centre,TA Mtwalo,Rural
Kalikumbi Health Centre,KLKB,Health centre,TA M'Mbelwa,Rural
Kamteteka Health Centre,KTTK,Health centre,TA M'Mbelwa,Rural
Kamwe Health Centre,KMWE,Health centre,TA Mtwalo,Rural
Katete Community Hospital,KTET,Rural / community hospital,TA Mabulabo,Rural
Kaweche Health Centre,KAWE,Health centre,TA Mtwalo,Rural
Khosolo Health Centre,KHSL,Health centre,TA Khosolo Gwaza Jere,Rural
Khuyukuyu Health Centre,KYKY,Health centre,TA Mtwalo,Rural
Lunjika Health Centre,LJKA,Health centre,TA Kampingo Sibande,Rural
Luvwere Health Centre,LUV,Health centre,TA Mtwalo,Rural
Luwawa Health Centre,LWAW,Health centre,TA Mzikubola,Rural
Luwelezi Health Centre,LWLZ,Health centre,TA Mabulabo,Rural
Luzi Health Centre,LUZI,Health centre,TA Jaravikuba Munthali,Rural
MACRO Mzuzu,MCRM,Special / other site,Mzuzu City,Urban
Mabiri Health Centre,MBRI,Health centre,TA Mzukuzuku,Rural
Madede Health Centre,MDED,Health centre,TA Chindi,Rural
Malidadi Health Centre,MADI,Health centre,TA Mpherembe,Rural
Manolo Health Centre,MNLO,Health centre,TA Mpherembe,Rural
Manyamula Health Centre,MYLA,Health centre,TA M'Mbelwa,Rural
Matuli Health Centre,MAT,Health centre,TA Kampingo Sibande,Rural
Mbalachanda Health Centre,MBCD,Health centre,TA Chindi,Rural
Mhalaunda Health Centre,MHLD,Health centre,TA M'Mbelwa,Rural
Mkoma Health Centre,MKMA,Health centre,TA Khosolo Gwaza Jere,Rural
Mpherembe Health Centre,MPER,Health centre,TA Mpherembe,Rural
Msese Health Centre,MSHC,Health centre,TA Khosolo Gwaza Jere,Rural
Mtende Health Centre,MTDE,Health centre,TA Chindi,Rural
Mtwalo Health Centre,MTWL,Health centre,TA Mtwalo,Rural
Mzalangwe Health Centre,NLGW,Health centre,TA Chindi,Rural
Mzambazi Community Hospital,MZCH,Rural / community hospital,TA Chindi,Rural
Mzimba District Hospital,MDH,District hospital,TA M'Mbelwa,Semi-urban
Mzuzu Central Hospital,RBWC,Central hospital,TA Mtwalo,Urban
Mzuzu Health Centre,MHC,District hospital,Mzuzu City,Urban
Mzuzu University Clinic,MZUC,Special / other site,TA Mtwalo,Urban
Njuyu Health Centre,NJYU,Health centre,TA Kampingo Sibande,Rural
Nkhorongo Health Centre,NKRH,Health centre,TA Mtwalo,Rural
St John of God Clinic,SJGC,Special / other site,TA Mtwalo,Urban
St John's Mission Hospital,SJM,Other hospital,TA Mtwalo,Urban
Thunduwike Health Centre,THHE,Health centre,TA Mpherembe,Rural
Vibangala Dispensary,VBNG,Dispensary,TA Mzukuzuku,Rural
Zolozolo Dispensary,ZOLD,Dispensary,TA Mtwalo,Urban
