Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chibanja Ward,"12,420",1 (0.4—3.3%),6.5% (3.6—11.3%),79% (55—93%)
Chibavi East Ward,"8,750",1 (0.4—3.4%),6.4% (3.5—10.9%),79% (56—94%)
Chibavi West Ward,"13,490",1 (0.4—3.3%),6.6% (3.6—11.5%),79% (56—94%)
Chindi,"166,880",1 (0.1—1.2%),2.7% (1.5—4.6%),81% (59—94%)
Chiputula Ward,"13,210",1 (0.4—3.4%),6.4% (3.5—11.1%),78% (54—93%)
Jaravikuba Munthali,"18,260",1 (0.2—1.8%),5.1% (2.7—8.7%),86% (68—96%)
Jombo - Kaning'ina Ward,"6,830",1 (0.4—3.6%),6.7% (3.7—11.7%),79% (55—94%)
Kampingo Sibande,"70,830",1 (0.2—1.9%),4.1% (2.2—7.2%),81% (59—94%)
Katawa Ward,"6,100",1 (0.4—3.5%),6.5% (3.6—11.2%),78% (54—93%)
Khosolo Gwaza Jere,"58,800",0 (0.1—0.9%),1.7% (0.9—2.9%),80% (58—94%)
Luwinga Ward,"30,400",1 (0.3—3.1%),6.1% (3.3—10.8%),78% (54—93%)
M'Mbelwa,"132,820",1 (0.2—1.3%),2.4% (1.3—4.1%),77% (52—93%)
Mabulabo,"66,290",0 (0.1—0.9%),1.6% (0.8—2.8%),77% (52—93%)
Masasa Ward,"25,080",1 (0.4—3.4%),6.7% (3.7—11.7%),80% (56—94%)
Mchengautuwa East Ward,"29,250",1 (0.3—3.3%),6.5% (3.6—11.2%),80% (57—94%)
Mchengautuwa West Ward,"33,090",1 (0.3—3.3%),6.3% (3.4—11.0%),80% (57—94%)
Mpherembe,"69,530",1 (0.2—1.9%),4.2% (2.2—7.0%),81% (60—95%)
Msongwe Ward,"10,650",1 (0.4—3.4%),6.8% (3.7—11.6%),80% (55—94%)
Mtwalo,"197,400",1 (0.2—2.1%),4.8% (2.6—7.7%),82% (61—95%)
Mzikubola,"104,530",1 (0.2—1.5%),3.1% (1.8—5.3%),80% (57—94%)
Mzilawaingwe Ward,"7,650",1 (0.4—3.4%),6.6% (3.6—11.4%),78% (54—93%)
Mzimba Boma,"27,130",1 (0.3—2.6%),4.9% (2.5—9.0%),77% (52—93%)
Mzukuzuku,"38,800",0 (0.1—1.1%),2.2% (1.2—4.0%),79% (55—94%)
Nkhorongo - Lupaso Ward,"10,980",1 (0.3—3.1%),6.0% (3.3—10.5%),78% (54—94%)
STA Levi Jere,"19,450",0 (0.1—1.1%),2.3% (1.2—4.0%),81% (58—94%)
Vwaza Marsh Reserve,40,1 (0.2—1.9%),4.4% (2.2—8.2%),85% (65—96%)
Vwaza Marsh Reserve,40,1 (0.2—2.0%),4.8% (2.4—8.4%),83% (64—95%)
Zolozolo East Ward,"8,730",1 (0.4—3.4%),6.4% (3.4—10.9%),78% (53—93%)
Zolozolo West Ward,"23,370",1 (0.3—3.4%),6.3% (3.5—10.7%),78% (54—93%)
