Health Facility,Code,Type,Traditional Authority,Setting
Chifunga Health Centre,CFGA,Health centre,TA Mlauli,Rural
Dambe Health Centre,DAMQ,Health centre,TA Dambe,Rural
Ligowe Health Centre,LGWE,Health centre,TA Mlauli,Rural
Lisungwi Community Hospital,LSGW,Health centre,TA Symon Likongwe,Rural
Luwani Health Centre,LWAN,Health centre,TA Symon Likongwe,Rural
Magareta Health Centre,MRET,Health centre,TA Mlauli,Rural
Matandani Health Centre,MTDN,Health centre,TA Chekucheku,Rural
Matope Health Centre,MTPE,Health centre,TA Symon Likongwe,Rural
Midzemba Health Centre,MIHC,Health centre,TA Symon Likongwe,Rural
Msambe Health Centre,NSBH,Health centre,TA Dambe,Rural
Neno District Hospital,NNDH,District hospital,TA Chekucheku,Semi-urban
Neno Parish Health Centre,NPHC,Health centre,TA Dambe,Rural
Nkula Health Centre,NKA,Health centre,TA Symon Likongwe,Rural
Zalewa PIH,ZDH,Special / other site,TA Symon Likongwe,Rural
