Health Facility,Code,Type,Traditional Authority,Setting
Bula Health Centre,BULA,Health centre,TA M'bwana,Rural
Chikwina Health Centre,CKWN,Health centre,Senior TA Nyaluwanga,Rural
Chilambwe Health Centre,CLBW,Health centre,TA Mankhambira,Rural
Chintheche Rural Hospital,CRH,Rural / community hospital,TA Malanda,Rural
Chisala Health Centre,CISL,Health centre,TA Timbiri,Rural
Chitheka Health Centre,CTKA,Health centre,TA Kabunduli,Rural
Kachere Health Centre,KCRE,Health centre,TA Fukamapiri,Rural
Kande Health Centre,KADE,Health centre,TA Fukamapiri,Rural
Kavuzi Cumnock Health Centre,KMHC,Health centre,TA Kabunduli,Rural
Kavuzi Health Centre,KAVU,Health centre,TA Kabunduli,Rural
Liuzi Health Centre,LIUZ,Health centre,TA Zilakoma,Rural
Luwazi Health Centre,LWAZ,Health centre,TA Timbiri,Rural
Maula Health Centre,MAHC,Health centre,TA Fukamalaza,Rural
Mpamba Health Centre,MPBA,Health centre,TA Timbiri,Rural
Mzenga Health Centre,MZGH,Health centre,TA Kabunduli,Rural
Nkhatabay District Hospital,NKHB,District hospital,TA M'bwana,Semi-urban
Nthungwa Health Centre,NTHC,Health centre,TA Kabunduli,Rural
Tukombo Dispensary,TUKD,Dispensary,TA Zilakoma,Rural
Usisya Health Centre,USHC,Health centre,TA M'bwana,Rural
