Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Boghoyo,"1,750",1 (0.1—2.0%),4.0% (1.7—8.1%),83% (61—95%)
Fukamalaza,"14,610",1 (0.2—2.7%),5.6% (3.0—10.1%),82% (59—95%)
Fukamapiri,"20,870",1 (0.2—2.2%),5.0% (2.7—8.6%),81% (60—95%)
Kabunduli,"51,250",1 (0.2—2.3%),4.7% (2.5—8.4%),81% (60—94%)
M'bwana,"24,360",1 (0.2—2.1%),4.3% (2.2—7.7%),82% (61—95%)
Malanda,"27,720",1 (0.3—2.7%),5.6% (3.0—9.8%),81% (58—94%)
Malenga Mzoma,"11,020",1 (0.2—2.6%),5.9% (3.0—10.5%),83% (62—95%)
Mankhambira,"24,900",1 (0.2—2.1%),5.5% (2.9—9.8%),85% (65—96%)
Mkumbira,"21,510",1 (0.2—2.3%),6.1% (3.2—10.7%),85% (66—96%)
Nkhatabay Boma,"14,530",1 (0.2—2.4%),6.2% (3.2—11.0%),86% (66—96%)
STA Kondowe,"2,160",1 (0.1—1.9%),3.9% (1.6—7.9%),83% (62—95%)
STA Nyaluwanga,"13,240",1 (0.2—2.5%),4.8% (2.4—8.6%),79% (55—94%)
Timbiri,"48,290",1 (0.2—2.6%),6.2% (3.3—10.6%),84% (64—96%)
Zilakoma,"18,270",1 (0.2—2.2%),5.0% (2.6—8.7%),82% (60—94%)
