Health Facility,Code,Type,Traditional Authority,Setting
Alinafe Community Hospital,ALCH,Rural / community hospital,TA Mwadzama,Rural
Benga Health Centre,BGAH,Health centre,TA Mwadzama,Rural
Bua Health Centre,BUA,Health centre,TA Mphonde,Rural
Chididi Health Centre Nkhotakota,CDID,Health centre,Senior TA Kalimanjira,Rural
Dwambazi Rural Hospital,DRH,Rural / community hospital,TA Kafuzila,Semi-urban
Dwangwa Cane Growers Association Clinic,DCGC,Health centre,TA Kanyenda,Semi-urban
Dwangwa Matiki Clinic,DMC,Special / other site,TA Kanyenda,Rural
Kaongozi Health Centre,KAOH,Health centre,TA Kanyenda,Rural
Kapili Health Centre,KPLI,Health centre,TA Mwadzama,Rural
Kasitu Health Centre,KSTU,Health centre,TA Kafuzila,Rural
Katimbira Health Centre,KTBR,Health centre,TA Kanyenda,Rural
Liwaladzi Health Centre,LWAH,Health centre,TA Kanyenda,Rural
Malowa Health Centre,MLOW,Health centre,TA Mwadzama,Rural
Mpamantha Health Centre,MPMT,Health centre,TA Malenga Chanzi,Rural
Msenjere Health Centre,MSJR,Health centre,TA Kanyenda,Rural
Mtosa Health Centre,MTSA,Health centre,TA Mwadzama,Rural
Mwansambo Health Centre,MWAS,Health centre,TA Mwansambo,Rural
Ngala Health Centre,NGLH,Health centre,TA Kanyenda,Rural
Nkhotakota District Hospital,KKHO,District hospital,TA Malenga Chanzi,Semi-urban
Nkhunga Health Centre,KHHC,Health centre,TA Kanyenda,Rural
St Anne's Mission Hospital,SAMH,Other hospital,TA Malenga Chanzi,Semi-urban
World Medical Fund,WMD,Other hospital,TA Malenga Chanzi,Semi-urban
