Health Facility,Code,Type,Traditional Authority,Setting
Chididi Health Centre Nsanje,CDD,Health centre,TA Malemia,Rural
Kalemba Community Hospital,KCM,Health centre,TA Mbenje,Rural
Lulwe Health Centre,LULW,Health centre,TA Ndamera,Rural
Masenjere Health Centre,MJRE,Health centre,TA Mlolo,Rural
Mbenje Health Centre,MBJE,Health centre,TA Ngabu,Rural
Ndamera Health Centre,NMRH,Health centre,TA Ndamera,Rural
Nsanje District Hospital,NJDH,District hospital,TA Malemia,Semi-urban
Nyamithuthu Health Centre,NTTC,Health centre,TA Tengani,Rural
Osiyana Health Centre,OSIY,Health centre,TA Mlolo,Rural
Phokera Health Centre,PKHC,Health centre,TA Mbenje,Rural
Sankhulani Health Centre,SHHC,Health centre,TA Mlolo,Rural
Sorgin Health Centre,SGHC,Health centre,TA Mbenje,Rural
Tengani Health Centre,TGHC,Health centre,Nsanje Boma,Rural
Trinity Mission Hospital,TRMH,Other hospital,TA Mlolo,Rural
