Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chimombo,"7,120",1 (0.3—3.0%),9.0% (4.7—15.7%),88% (70—97%)
Makoko,"5,980",1 (0.2—2.4%),6.8% (3.3—12.2%),87% (71—97%)
Malemia,"60,310",1 (0.2—2.4%),7.8% (4.2—13.0%),88% (72—97%)
Mbenje,"30,830",1 (0.2—2.6%),9.4% (5.3—15.6%),90% (75—97%)
Mlolo,"39,730",1 (0.2—2.3%),8.9% (5.0—14.6%),90% (76—97%)
Mwabvi Game Reserve,"5,050",1 (0.2—2.2%),6.5% (2.8—12.7%),88% (72—97%)
Ndamera,"19,420",1 (0.2—2.5%),8.0% (4.0—13.8%),88% (72—97%)
Ngabu,"98,630",1 (0.2—2.8%),8.4% (4.4—14.1%),88% (71—97%)
Nsanje Boma,"15,480",1 (0.2—2.7%),8.8% (4.8—15.0%),89% (74—97%)
Nyachikadza,"4,430",1 (0.3—3.1%),9.7% (4.9—17.7%),88% (70—97%)
Tengani,"23,680",1 (0.2—2.4%),7.8% (3.9—13.5%),88% (72—97%)
