Health Facility,Code,Type,Traditional Authority,Setting
Bilira Health Centre,BLIL,Health centre,TA Makwangwala,Rural
Biriwiri Health Centre,BRWR,Health centre,TA Njolomole,Rural
Bwanje Health Centre,BWAH,Health centre,TA Goodson Ganya,Rural
Champiti Health Centre,CMPT,Health centre,TA Champiti,Rural
Chigodi Health Centre,CGDI,Health centre,TA Chakhumbira,Rural
Chikande Health Centre,CKDE,Health centre,TA Makwangwala,Rural
Chikowa Health Centre Ntcheu,CHNU,Health centre,TA Phambala,Rural
Doviko Dispensary,DVKO,Health centre,TA Mpando,Rural
Dzunje Dispensary,DZUN,Dispensary,TA Kwataine,Rural
Ganya Health Centre,GNYA,Health centre,TA Goodson Ganya,Rural
Gowa Heath Centre,GOWA,Health centre,TA Njolomole,Rural
Kalimanjira Health Centre,KALI,Health centre,Senior TA Mkutumula,Rural
Kandeu Health Centre,KDEU,Health centre,TA Goodson Ganya,Rural
Kapeni Health Centre,KPEN,Health centre,TA Phambala,Rural
Kasinje Health Centre,KSJE,Health centre,TA Ganya,Rural
Katsekera Health Centre,KATS,Health centre,TA Mpando,Rural
Lakeview Health Centre,LKVW,Health centre,TA Njolomole,Rural
Lizulu Health Centre,LZLU,Health centre,TA Chakhumbira,Rural
Manjawira Maternity,MJWR,Special / other site,Senior TA Tsikulamowa,Rural
Masasa Health Centre,MSAS,Health centre,TA Masasa,Rural
Matanda Health Centre,MTAD,Dispensary,TA Phambala,Rural
Mlanda Health Centre,MLND,Health centre,TA Masasa,Rural
Mlangeni Health Centre,MLGE,Health centre,TA Njolomole,Rural
Mphepozinai Dispensary,MPZN,Dispensary,TA Njolomole,Rural
Mtonda Health Centre,MTND,Health centre,TA Phambala,Rural
Muluma Health Centre,MULU,Health centre,TA Njolomole,Rural
Nsipe Health Centre,NSHC,Health centre,TA Kwataine,Rural
Nsiyaludzu Health Centre,NSYH,Health centre,TA Makwangwala,Rural
Ntcheu BLM,NUBL,Health centre,TA Kwataine,Urban
Ntcheu District Hospital,NUDH,District hospital,TA Kwataine,Semi-urban
Nzama Health Centre,NHC,Health centre,TA Mpando,Rural
Senzani Health Centre,SZHC,Health centre,Senior TA Tsikulamowa,Rural
Sharpe Valley Health Centre,SVM,Special / other site,TA Goodson Ganya,Rural
Sister Theresa Community Hospital Mikoke,STCH,Rural / community hospital,Senior TA Tsikulamowa,Rural
Tsangano Health Centre,TSHC,Health centre,TA Mpando,Rural
