Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chakhumbira,"37,130",1 (0.2—2.3%),5.6% (3.0—9.9%),84% (64—95%)
Champiti,"22,850",1 (0.2—2.5%),6.9% (3.6—12.1%),86% (66—96%)
Goodson Ganya,"151,560",1 (0.2—2.0%),5.2% (2.8—9.1%),85% (66—95%)
Kwataine,"56,480",1 (0.2—2.3%),6.6% (3.5—11.4%),86% (69—96%)
Makwangwala,"92,160",1 (0.2—2.2%),6.2% (3.4—10.7%),86% (68—96%)
Masasa,"37,260",1 (0.2—1.8%),4.7% (2.5—8.3%),85% (66—96%)
Mpando,"81,970",1 (0.2—1.9%),5.3% (2.9—8.9%),87% (69—96%)
Njolomole,"75,210",1 (0.3—2.6%),6.3% (3.4—10.5%),84% (65—95%)
Ntcheu Boma,"22,560",1 (0.2—2.5%),7.2% (3.8—12.2%),87% (69—96%)
Phambala,"47,180",1 (0.2—2.1%),6.4% (3.5—11.0%),87% (69—96%)
STA Mkutumula,"31,010",1 (0.2—2.0%),5.1% (2.6—8.9%),86% (66—96%)
STA Tsikulamowa,"41,850",1 (0.2—2.1%),7.8% (4.3—12.8%),89% (75—97%)
