Health Facility,Code,Type,Traditional Authority,Setting
Chinguluwe Health Centre Ntchisi,CGHC,Health centre,TA Chilooko,Rural
Chinthembwe Health Centre,CNBW,Health centre,TA Kalumo,Rural
Kangolwa Health Centre,KGRW,Health centre,TA Kasakula,Rural
Kansonga Health Centre Ntchisi,KNSG,Health centre,TA Malenga,Rural
Khuwi Health Centre,KHWI,Health centre,TA Kalumo,Rural
Malambo St Theresa Health Centre,TSMC,Health centre,TA Chilooko,Rural
Malomo Health Centre,MLMO,Health centre,TA Chilooko,Rural
Mkhuzi Health Centre,MKZI,Health centre,TA Kalumo,Rural
Mndinda Health Centre,MNDN,Health centre,TA Nthondo,Rural
Mzandu Health Centre,MZDH,Health centre,TA Chikho,Rural
Ntchisi District Hospital,NDH,District hospital,TA Kalumo,Semi-urban
Nthondo Health Centre,NHCN,Health centre,TA Nthondo,Rural
