Health Facility,Code,Type,Traditional Authority,Setting
Chiringa CHAM Health Centre,CHCC,Health centre,TA Nazombe,Rural
Chiringa Maternity,CRGA,Special / other site,TA Nazombe,Rural
Chitekesa Health Centre,CTKS,Health centre,TA Jenala,Rural
Kalinde Health Centre,KLDE,Health centre,TA Kaduya,Rural
Migowi Health Centre,MGWI,Health centre,TA Kaduya,Rural
Mpasa Health Centre,MPAS,Health centre,TA Mkhumba,Rural
Mulungu Alinafe Clinic,MALI,Health centre,TA Nkhulambe,Rural
Mwanga Health Centre,MWAG,Health centre,TA Jenala,Rural
Nambazo Health Centre,NBZH,Health centre,TA Chiwalo,Rural
Nazombe Health Centre (Gogo Nazombe),GNBE,Health centre,TA Nazombe,Rural
Nkhulambe Health Centre,NKBH,Health centre,TA Nkhulambe,Rural
Nkhwayi Health Centre,MKYI,Health centre,TA Jenala,Rural
Phalombe District Hospital,PEDH,District hospital,Phalombe Boma,Semi-urban
Phalombe Mission Hospital Holy Family,PHFH,Other hospital,TA Mkhumba,Semi-urban
Sukasanje Health Centre,SUHC,Health centre,TA Nkhulambe,Rural
