Health Facility,Code,Type,Traditional Authority,Setting
Bolero Rural Hospital,BLRO,Rural / community hospital,TA Chikulamayembe,Rural
Chitimba Health Centre,CTMB,Health centre,TA Mwalweni,Rural
Eva Demaya Centre,EDC,Special / other site,TA Chikulamayembe,Rural
Jalawe Health centre,QJLW,Health centre,TA Mwalweni,Rural
Katowo Health Centre,KTWO,Health centre,TA Katumbi,Rural
Livingstonia Mission Hospital,GLMH,Other hospital,TA Mwalweni,Rural
Lura Health Centre,LURA,Health centre,Senior TA Kachulu,Rural
Luwuchi Health Centre,LWCI,Health centre,TA Mwalweni,Rural
Mhuju Rural Hospital,MHJU,Rural / community hospital,TA Mwahenga,Rural
Mlowe Health Centre,MLWE,Health centre,TA Mwamlowe,Rural
Mphompha Health Centre,MPHM,Health centre,TA Mwankhunikira,Rural
Mwazisi Health Centre,MZSI,Health centre,TA Chikulamayembe,Rural
Mzokoto Health Centre,MZKH,Health centre,TA Mwankhunikira,Rural
Ng'onga Health Centre,NNGA,Health centre,Senior TA Chisovya,Rural
Nthenje Dispensary,NNJE,Dispensary,TA Mwankhunikira,Rural
Rumphi District Hospital,RDH,District hospital,TA Chikulamayembe,Semi-urban
