Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chikulamayembe,"73,320",1 (0.2—2.2%),5.2% (2.9—9.0%),84% (64—95%)
Katumbi,"16,160",1 (0.1—1.6%),4.1% (1.9—7.6%),86% (66—96%)
Mwahenga,"20,900",1 (0.2—2.0%),4.6% (2.4—8.3%),82% (61—95%)
Mwalweni,"29,140",1 (0.1—1.3%),3.1% (1.6—5.5%),83% (62—95%)
Mwamlowe,"8,830",1 (0.1—1.5%),3.4% (1.6—6.3%),82% (61—95%)
Mwankhunikira,"26,570",1 (0.2—1.9%),4.6% (2.4—8.1%),83% (63—95%)
Nyika National Park,"1,960",1 (0.1—1.5%),4.0% (1.9—7.2%),85% (66—96%)
Rumphi Boma,"23,420",1 (0.2—2.4%),6.1% (3.1—10.7%),84% (64—96%)
STA Chapinduka,"3,910",1 (0.1—1.8%),3.7% (1.6—7.4%),83% (61—95%)
STA Chisovya,"9,620",1 (0.2—2.2%),5.8% (3.1—9.9%),85% (66—96%)
STA Kachulu,"13,680",0 (0.1—1.1%),2.6% (1.2—4.9%),84% (63—96%)
STA Njikula,"4,190",1 (0.1—1.4%),3.0% (1.5—5.7%),82% (60—95%)
STA Zolokere,"7,060",1 (0.1—1.7%),4.2% (1.8—7.9%),86% (66—96%)
