Health Facility,Code,Type,Traditional Authority,Setting
Chagunda Health Centre,CGDA,Health centre,TA Kambwiri,Rural
Chinguluwe Health Centre Salima,CGLW,Health centre,TA Karonga,Semi-urban
Chipoka Health Centre,CPKA,Health centre,TA Ndindi,Semi-urban
Chitala Health Centre,CTLA,Health centre,TA Khombedza,Semi-urban
Kaphatenga Health Centre,KPAT,Health centre,TA Karonga,Semi-urban
Katawa Health Centre,KTHC,Health centre,TA Karonga,Rural
Khombedza Health Centre,KBDZ,Health centre,TA Khombedza,Rural
Life Line Salima Health Centre,LLSH,Health centre,TA Kambalame,Semi-urban
Lifuwu Health Centre,LFWH,Health centre,TA Kuluunda,Rural
Maganga Health Centre,MGGA,Health centre,TA Maganga,Rural
Makiyoni Health Centre,MKYN,Health centre,TA Mwanza,Rural
Mchoka Health Centre,MCOK,Health centre,TA Ndindi,Rural
Ngodzi Health Centre,NZHC,Health centre,TA Kambalame,Semi-urban
Salima BLM,SBLM,Health centre,TA Karonga,Urban
Salima District Hospital,SDH,District hospital,TA Karonga,Semi-urban
Senga Bay Baptist Medical Clinic,SBMC,Other hospital,TA Maganga,Semi-urban
Thavite Health Centre,TVHC,Health centre,TA Mwanza,Semi-urban
