Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chipoka Urban,"6,770",1 (0.1—1.4%),4.8% (2.5—8.4%),89% (72—97%)
Kambalame,"23,600",1 (0.1—1.5%),4.7% (2.5—8.2%),88% (72—97%)
Kambwiri,"44,160",0 (0.1—1.1%),3.7% (1.9—6.3%),89% (74—97%)
Karonga,"82,910",0 (0.1—1.2%),4.3% (2.4—7.2%),89% (75—97%)
Khombedza,"101,070",0 (0.1—1.1%),3.1% (1.7—5.4%),86% (68—96%)
Kuluunda,"20,650",1 (0.1—1.7%),6.7% (3.5—11.7%),91% (77—98%)
Lake Malawi National Park,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
Maganga,"74,250",1 (0.1—1.4%),6.2% (3.3—10.5%),91% (78—98%)
Msosa,"9,940",1 (0.1—1.4%),3.8% (1.9—6.9%),86% (67—96%)
Mwanza,"27,410",0 (0.1—0.8%),2.1% (1.1—3.6%),86% (68—96%)
Ndindi,"50,480",0 (0.1—1.2%),4.3% (2.1—7.4%),90% (75—97%)
Pemba,"26,140",0 (0.1—1.1%),4.7% (2.4—7.9%),91% (78—98%)
Salima Town,"39,160",0 (0.1—1.1%),5.0% (2.7—8.7%),92% (80—98%)
