Health Facility,Code,Type,Traditional Authority,Setting
Amalika Health Centre,AMLK,Health post,TA Bvumbwe,Rural
Bvumbwe Research Health Centre,BRHC,Health centre,TA Bvumbwe,Semi-urban
Changata Health Centre,CGAT,Health centre,TA Changata,Rural
Chimaliro Health Centre,CMLR,Health centre,TA Chimaliro,Rural
Chimvu Health Centre,CMVU,Health post,TA Chimaliro,Rural
Chingazi Health Centre,CGZI,Health centre,TA Chimaliro,Semi-urban
Chipho Health Centre,CPHO,Health centre,TA Nsabwe,Semi-urban
Chisoka Health Centre,CSKA,Health centre,TA Chimaliro,Rural
Didi Health Centre,DIDI,Health centre,TA Mphuka,Rural
Gombe Health Centre,GMBE,Health post,Senior TA Thukuta,Rural
Hallena Oakley Ntambanyama Health Centre,HOHC,Health centre,TA Kwethemule,Rural
Khonjeni Health Centre,KJNH,Health centre,TA Kapichi,Rural
Makapwa Health Centre,MKPW,Health centre,TA Kapichi,Rural
Makungwa Health Centre,MKGW,Health centre,TA Bvumbwe,Rural
Makwasa Estate Clinic,MKWS,Health centre,TA Kwethemule,Rural
Malamulo Mission Hospital,MLML,Other hospital,TA Kwethemule,Rural
Mangunda Health Centre,MGDA,Health centre,TA Nanseta,Rural
Mapanga Maternity,MPGA,Special / other site,Senior TA Mbawela,Semi-urban
Mchima Clinic,MCIM,Health centre,TA Nchilamwela,Rural
Mikolongwe Health Centre,MKLG,Health centre,TA Chimaliro,Rural
Mitengo Health Centre St Joseph,MTGO,Health centre,TA Kapichi,Rural
Sambankhanga Health Centre,SKHC,Health centre,TA Kwethemule,Urban
Satemwa Clinic,SATC,Health centre,TA Mphuka,Rural
St Martins Molere Health Centre,SMMC,Health centre,TA Changata,Rural
Thekerani Health Centre,TKHC,Rural / community hospital,TA Nsabwe,Rural
Thomasi Health Centre,TMHC,Health centre,TA Thomas,Rural
Thunga Health Centre,THHC,Health centre,TA Bvumbwe,Rural
Thyolo District Hospital,THD,District hospital,TA Nchilamwela,Semi-urban
Zoa Health Centre,ZOHC,Health centre,Senior TA Mbawela,Semi-urban
