Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Bvumbwe,"114,160",1 (0.4—3.5%),11.3% (6.5—18.4%),88% (71—97%)
Changata,"43,170",1 (0.2—2.3%),8.3% (4.6—13.8%),89% (75—97%)
Chimaliro,"58,840",1 (0.3—3.4%),11.4% (6.5—18.9%),88% (73—97%)
Kapichi,"62,970",1 (0.3—3.2%),10.2% (5.8—16.5%),88% (72—97%)
Kwethemule,"60,350",1 (0.2—2.6%),9.1% (5.1—15.2%),89% (74—97%)
Luchenza Town,"13,120",1 (0.3—3.7%),12.2% (7.0—19.8%),89% (73—97%)
Mphuka,"66,130",1 (0.3—2.6%),9.0% (5.0—14.9%),89% (73—97%)
Nanseta,"32,940",1 (0.3—3.5%),11.5% (6.6—19.3%),89% (73—97%)
Nchilamwela,"73,940",1 (0.2—2.5%),10.3% (5.8—17.2%),91% (78—98%)
Ngolongoliwa,"35,040",1 (0.3—3.0%),11.4% (6.4—19.1%),90% (76—97%)
Nsabwe,"43,770",1 (0.2—2.2%),7.1% (3.8—11.5%),88% (72—97%)
STA Boyidi,"22,900",1 (0.3—3.5%),12.1% (6.7—20.4%),89% (73—97%)
STA Mbawela,"50,570",1 (0.2—2.2%),7.4% (4.2—12.2%),89% (73—97%)
STA Thukuta,"22,010",1 (0.2—2.2%),6.8% (3.5—11.6%),88% (72—97%)
Thomas,"38,980",1 (0.2—2.7%),8.9% (4.9—14.9%),89% (74—97%)
Thyolo Boma,"8,190",1 (0.2—1.8%),10.5% (5.9—17.6%),93% (84—98%)
