Health Facility,Code,Type,Traditional Authority,Setting
Bimbi Health Centre,BMBI,Health centre,TA Kuntumanji,Rural
Chamba Health Centre,CMBA,Health centre,TA Mwambo,Rural
Chancellor College Clinic,CNCC,Special / other site,Chirunga Ward,Urban
Chilipa Health Centre Zomba,CHLP,Health centre,TA Mlumbe,Rural
Chingale Health Centre,CGLE,Health centre,TA Mlumbe,Rural
Chipini Health Centre,CPNI,Health centre,TA Mlumbe,Rural
City Clinic Zomba,CCZ,Health centre,TA Chikowi,Rural
Domasi Rural Hospital,DMSI,Rural / community hospital,TA Malemia,Rural
H. Parker Sharp Health Centre (Domasi CCAP),HPS,Health centre,TA Malemia,Rural
Lambulira Health Centre,LMBR,Health centre,TA Chikowi,Rural
Likangala Health Centre,LKGL,Health centre,TA Mwambo,Rural
Machinjiri Health Centre,MCJR,Health centre,TA Malemia,Rural
Maera Health Centre,MAER,Health centre,TA Changalume,Rural
Magomero Health Centre,MGMR,Health centre,Senior TA Ntholowa,Rural
Makwapala Health Centre,MKPL,Health centre,Senior TA Nkagula,Rural
Matawale Health Centre,MTWA,Health centre,Chirunga Ward,Urban
Matiya Health Centre,MTYA,Health centre,TA Mwambo,Rural
Mayaka Health Centre,MYKA,Health centre,TA Chikowi,Rural
Mmambo Health Centre,MMAB,Health centre,TA Mlumbe,Rural
Mwandama Health Centre,MWDM,Health centre,TA Mlumbe,Rural
Naisi Health Centre,NAIH,Health centre,TA Malemia,Rural
Namadidi Health Centre,NHEC,Health centre,TA Mlumbe,Urban
Namasalima Health Centre Zomba,NMSA,Health centre,TA Kuntumanji,Rural
Namikango Health Centre,KAGH,Health centre,TA Mlumbe,Rural
Nasawa Health Centre,NAWH,Health centre,TA Mbiza,Rural
Ngwelero Health Centre,NGLR,Health centre,Senior TA Ngwelero,Rural
Nkasala Health Centre,NKL,Health centre,Senior TA Nkapita,Rural
Pirimiti Health Centre,PMHC,Health centre,TA Mwambo,Rural
Sadzi Health Centre,SADZ,Health centre,TA Chikowi,Rural
St Lukes Mission Hospital,SLMH,Other hospital,TA Malemia,Rural
Thondwe Health Centre,TDHC,Health centre,TA Mlumbe,Rural
Zilindo Health Centre,ZILD,Health centre,TA Mlumbe,Rural
Zomba Airbase Clinic,ZAIR,Health centre,TA Mwambo,Urban
Zomba Central Hospital,ZCH,Central hospital,TA Chikowi,Urban
Zomba Mental Hospital,ZMH,Special / other site,Mbedza Ward,Urban
