Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chambo Ward,"5,870",1 (0.3—3.1%),10.8% (6.1—17.8%),89% (73—97%)
Chikowi,"63,600",1 (0.3—2.6%),9.4% (5.3—15.9%),89% (75—97%)
Chinamwali Ward,"15,880",1 (0.3—3.0%),10.0% (5.7—16.4%),88% (72—97%)
Chirunga Ward,"12,870",1 (0.3—3.0%),10.2% (5.9—16.8%),88% (72—97%)
Kuntumanji,"47,830",1 (0.2—2.3%),8.4% (4.6—13.9%),90% (75—97%)
Likangala Ward,"16,380",1 (0.3—3.1%),10.6% (6.0—17.4%),89% (73—97%)
Malemia,"104,580",1 (0.3—2.7%),8.8% (5.0—14.5%),88% (71—97%)
Masongola Ward,"5,750",1 (0.3—3.0%),10.2% (5.8—17.3%),88% (72—97%)
Mbedza Ward,"8,120",1 (0.3—3.2%),10.6% (6.0—17.5%),89% (73—97%)
Mbiza,"84,770",1 (0.2—2.5%),8.9% (5.1—14.8%),89% (75—97%)
Mkumbira,"21,220",1 (0.2—2.3%),8.2% (3.8—15.0%),90% (76—97%)
Mlumbe,"126,700",1 (0.2—2.5%),8.1% (4.6—13.1%),88% (72—97%)
Mpira Ward,"17,650",1 (0.3—3.1%),10.6% (6.0—17.9%),89% (73—97%)
Mtiya Ward,"6,010",1 (0.3—3.2%),10.5% (6.0—17.6%),88% (72—97%)
Mwambo,"151,260",1 (0.2—2.3%),9.4% (5.3—15.6%),91% (78—97%)
STA Ngwelero,"33,810",1 (0.2—2.1%),9.2% (5.1—15.8%),91% (78—98%)
STA Nkagula,"51,380",1 (0.2—2.6%),8.8% (4.9—14.5%),89% (73—97%)
STA Nkapita,"45,110",1 (0.2—2.1%),7.3% (4.0—12.1%),89% (73—97%)
STA Ntholowa,"50,490",1 (0.2—2.6%),9.0% (4.9—14.7%),89% (74—97%)
Sadzi Ward,"14,910",1 (0.3—3.1%),10.6% (5.9—17.4%),89% (73—97%)
Zomba Central Ward,"6,330",1 (0.3—3.1%),10.6% (6.1—17.9%),88% (72—97%)
